Area_Name,Year,Group_Name,Sub_Group_Name,Victims_Above_50_Yrs,Victims_Total,Victims_Upto_10_15_Yrs,Victims_Upto_10_Yrs,Victims_Upto_15_18_Yrs,Victims_Upto_18_30_Yrs,Victims_Upto_30_50_Yrs
Andaman & Nicobar Islands,2001,Murder - Female Victims,2. Female Victims,,6,,,,4.0,2.0
Andhra Pradesh,2001,Murder - Female Victims,2. Female Victims,67.0,607,15.0,38.0,43.0,269.0,175.0
Arunachal Pradesh,2001,Murder - Female Victims,2. Female Victims,2.0,16,0.0,0.0,0.0,10.0,4.0
Assam,2001,Murder - Female Victims,2. Female Victims,11.0,128,8.0,4.0,23.0,45.0,37.0
Bihar,2001,Murder - Female Victims,2. Female Victims,12.0,366,0.0,0.0,40.0,191.0,123.0
Chandigarh,2001,Murder - Female Victims,2. Female Victims,3.0,5,0.0,0.0,0.0,1.0,1.0
Chhattisgarh,2001,Murder - Female Victims,2. Female Victims,63.0,549,14.0,38.0,38.0,214.0,182.0
Delhi,2001,Murder - Female Victims,2. Female Victims,14.0,152,2.0,12.0,9.0,74.0,41.0
Goa,2001,Murder - Female Victims,2. Female Victims,1.0,13,,,,4.0,8.0
Gujarat,2001,Murder - Female Victims,2. Female Victims,26.0,363,9.0,57.0,8.0,132.0,131.0
Haryana,2001,Murder - Female Victims,2. Female Victims,6.0,143,1.0,12.0,15.0,67.0,42.0
Himachal Pradesh,2001,Murder - Female Victims,2. Female Victims,6.0,39,1.0,1.0,1.0,11.0,19.0
Jammu & Kashmir,2001,Murder - Female Victims,2. Female Victims,24.0,187,13.0,2.0,27.0,68.0,53.0
Jharkhand,2001,Murder - Female Victims,2. Female Victims,24.0,291,0.0,0.0,39.0,126.0,102.0
Karnataka,2001,Murder - Female Victims,2. Female Victims,51.0,577,13.0,38.0,24.0,250.0,201.0
Kerala,2001,Murder - Female Victims,2. Female Victims,24.0,156,5.0,36.0,8.0,25.0,58.0
Lakshadweep,2001,Murder - Female Victims,2. Female Victims,0.0,2,1.0,1.0,0.0,0.0,0.0
Madhya Pradesh,2001,Murder - Female Victims,2. Female Victims,31.0,622,13.0,41.0,37.0,281.0,219.0
Maharashtra,2001,Murder - Female Victims,2. Female Victims,78.0,1068,28.0,76.0,41.0,555.0,290.0
Manipur,2001,Murder - Female Victims,2. Female Victims,1.0,8,,2.0,,2.0,3.0
Meghalaya,2001,Murder - Female Victims,2. Female Victims,0.0,6,0.0,0.0,0.0,4.0,2.0
Mizoram,2001,Murder - Female Victims,2. Female Victims,0.0,12,0.0,0.0,0.0,9.0,3.0
Nagaland,2001,Murder - Female Victims,2. Female Victims,0.0,2,0.0,0.0,2.0,0.0,0.0
Odisha,2001,Murder - Female Victims,2. Female Victims,26.0,260,0.0,0.0,13.0,140.0,81.0
Puducherry,2001,Murder - Female Victims,2. Female Victims,,10,,,1.0,5.0,4.0
Punjab,2001,Murder - Female Victims,2. Female Victims,11.0,203,1.0,3.0,21.0,90.0,77.0
